t_ve=4ms ve_width=8.00 ve_tc=16.9692
tc_greedy=17.0795 tc_ve=16.9141 best_seed=16.9141 t=566ms
t=2906ms tc=16.9132
t=3054ms tc=16.9086
t=3176ms tc=16.9022
t=3306ms tc=16.8958
t=3750ms tc=16.8930
t=3907ms tc=16.8866
t=4110ms tc=16.8852
t=4743ms tc=16.8827
t=4873ms tc=16.8756
t=5029ms tc=16.8754
t=5744ms tc=16.8723
t=5914ms tc=16.8707
t=6057ms tc=16.8615
t=6742ms tc=16.8554
t=6983ms tc=16.8511
t=7094ms tc=16.8503
t=7186ms tc=16.8452
t=7735ms tc=16.8448
t=7842ms tc=16.8402
t=7946ms tc=16.8361
t=8041ms tc=16.8323
t=8743ms tc=16.8307
t=8841ms tc=16.8270
t=9058ms tc=16.8267
t=9150ms tc=16.8237
t=9235ms tc=16.8235
t=9745ms tc=16.8226
t=9863ms tc=16.8202
t=10017ms tc=16.8191
t=10131ms tc=16.8171
t=10217ms tc=16.8154
t=10742ms tc=16.8115
t=10844ms tc=16.8105
t=11011ms tc=16.8093
t=11130ms tc=16.8088
t=11229ms tc=16.8055
t=11741ms tc=16.8018
t=11840ms tc=16.8013
t=11937ms tc=16.7979
t=12185ms tc=16.7945
t=12375ms tc=16.7936
t=12739ms tc=16.7932
t=12947ms tc=16.7928
t=13033ms tc=16.7912
t=13112ms tc=16.7908
t=13199ms tc=16.7888
t=13272ms tc=16.7887
t=13748ms tc=16.7881
t=13856ms tc=16.7876
t=13960ms tc=16.7869
t=18453ms tc=16.7864
t=18609ms tc=16.7851
t=27189ms tc=16.7850
t=31775ms tc=16.7822
t=44996ms tc=16.7821
t=79710ms tc=16.7820
t=79793ms tc=16.7818
t=227225ms tc=16.7814
t=235896ms tc=16.7810
t=288169ms tc=16.7785
anneal_sweeps=124031 cycles=65 fresh=0
t_final=291002ms tc_final=16.7785 ve_fits=true
