t_ve=1ms ve_width=25.00 ve_tc=27.0562
tc_greedy=43.3430 tc_ve=26.8260 best_seed=26.8260 t=96ms
t=1130ms tc=26.8251
t=1139ms tc=26.8248
t=1148ms tc=26.8220
t=1159ms tc=26.8111
t=1169ms tc=26.8093
t=1201ms tc=26.6934
t=1211ms tc=26.6919
t=1230ms tc=26.6329
t=1239ms tc=26.6296
t=1248ms tc=26.6260
t=1258ms tc=26.6246
t=1274ms tc=26.6236
t=1293ms tc=26.6194
t=1301ms tc=26.6179
t=1312ms tc=26.5945
t=1321ms tc=26.5637
t=1330ms tc=26.5326
t=1340ms tc=26.5319
t=1349ms tc=26.5295
t=1358ms tc=26.5275
t=1368ms tc=26.5258
t=1378ms tc=26.5253
t=1444ms tc=26.5156
t=1455ms tc=26.5137
t=1464ms tc=26.5079
t=1474ms tc=26.5031
t=1495ms tc=26.4891
t=1504ms tc=26.4891
t=1513ms tc=26.4888
t=1523ms tc=26.4881
t=1532ms tc=26.4874
t=1540ms tc=26.4859
t=1549ms tc=26.4855
t=1573ms tc=26.4326
t=1585ms tc=26.2992
t=1597ms tc=26.2958
t=1606ms tc=26.2942
t=1614ms tc=26.2924
t=1632ms tc=26.2917
t=1642ms tc=26.2909
t=1653ms tc=26.2894
t=1663ms tc=26.2893
t=1679ms tc=26.2892
t=1687ms tc=26.2879
t=1707ms tc=26.2610
t=1716ms tc=26.2422
t=1724ms tc=26.2393
t=1732ms tc=26.2392
t=1749ms tc=26.2150
t=1766ms tc=26.2124
t=1774ms tc=26.2107
t=6415ms tc=26.1863
t=6429ms tc=26.1785
t=6441ms tc=26.1782
t=6456ms tc=26.1582
t=6468ms tc=26.1582
t=6482ms tc=26.1380
t=6499ms tc=26.1339
t=6513ms tc=26.1328
t=6527ms tc=26.1328
t=6543ms tc=26.1325
t=6574ms tc=26.1307
t=6589ms tc=26.1299
t=80680ms tc=26.0844
t=80689ms tc=26.0832
t=80698ms tc=26.0769
t=80715ms tc=26.0493
t=80724ms tc=26.0466
anneal_sweeps=251326 cycles=131 fresh=0
t_final=87300ms tc_final=26.0466 ve_fits=true
