tc_greedy=37.2207 tc_ve=29.4305 best_seed=29.4305 t=604ms
t=1581ms tc=29.4095
t=1726ms tc=29.4078
t=1866ms tc=29.4050
t=2579ms tc=29.3988
t=2728ms tc=29.3746
t=3571ms tc=29.3720
t=3743ms tc=29.3428
t=3881ms tc=29.3071
t=4582ms tc=29.2408
t=4733ms tc=29.2321
t=4864ms tc=29.2185
t=5600ms tc=29.2159
t=5734ms tc=29.2120
t=5877ms tc=29.1826
t=6576ms tc=29.1819
t=6697ms tc=29.1694
t=6846ms tc=29.1513
t=7582ms tc=29.1482
t=7703ms tc=29.1395
t=7823ms tc=29.1035
t=8583ms tc=29.0950
t=8714ms tc=29.0738
t=8853ms tc=29.0643
t=9580ms tc=29.0452
t=9698ms tc=29.0160
t=9862ms tc=28.9875
t=10594ms tc=28.9705
t=10710ms tc=28.9644
t=10826ms tc=28.9528
t=11570ms tc=28.9485
t=11712ms tc=28.9285
t=11829ms tc=28.9275
t=12567ms tc=28.9250
t=12684ms tc=28.9214
t=12806ms tc=28.9095
t=13569ms tc=28.8959
t=13684ms tc=28.8890
t=13796ms tc=28.8794
t=14575ms tc=28.8697
t=14706ms tc=28.8672
t=14829ms tc=28.8499
t=15578ms tc=28.8415
t=15704ms tc=28.8371
t=15822ms tc=28.8339
t=16568ms tc=28.8128
t=16690ms tc=28.8066
t=16801ms tc=28.8037
t=17569ms tc=28.8027
t=17673ms tc=28.7911
t=17779ms tc=28.7905
t=17880ms tc=28.7772
t=18576ms tc=28.7710
t=18686ms tc=28.7683
t=18794ms tc=28.7503
t=19569ms tc=28.7406
t=19671ms tc=28.7398
t=19776ms tc=28.7330
t=19878ms tc=28.7125
t=20574ms tc=28.7096
t=20685ms tc=28.7093
t=20791ms tc=28.6988
t=20892ms tc=28.6951
t=21577ms tc=28.6880
t=21702ms tc=28.6830
t=21817ms tc=28.6758
t=22577ms tc=28.6597
t=22689ms tc=28.6561
t=22801ms tc=28.6532
t=22894ms tc=28.6497
t=23583ms tc=28.6312
t=23704ms tc=28.6255
t=23822ms tc=28.6195
t=24577ms tc=28.6086
t=24685ms tc=28.5992
t=24789ms tc=28.5972
t=24896ms tc=28.5957
t=25578ms tc=28.5937
t=25672ms tc=28.5875
t=25762ms tc=28.5786
t=25846ms tc=28.5570
t=26577ms tc=28.5484
t=26671ms tc=28.5470
t=26759ms tc=28.5430
t=26854ms tc=28.5268
t=27571ms tc=28.5149
t=27652ms tc=28.4992
t=27739ms tc=28.4743
t=27824ms tc=28.4649
t=28567ms tc=28.4558
t=28652ms tc=28.4423
t=28734ms tc=28.4351
t=28817ms tc=28.4293
t=28901ms tc=28.4125
t=29577ms tc=28.4081
t=29659ms tc=28.4081
t=29741ms tc=28.4059
t=29849ms tc=28.3995
t=29923ms tc=28.3951
t=30578ms tc=28.3783
t=30672ms tc=28.3736
t=30748ms tc=28.3736
t=30823ms tc=28.3528
t=31575ms tc=28.3342
t=31661ms tc=28.3204
t=31740ms tc=28.3113
t=31819ms tc=28.3024
t=32578ms tc=28.2884
t=32652ms tc=28.2838
t=32731ms tc=28.2745
t=32809ms tc=28.2744
t=32907ms tc=28.2701
t=33571ms tc=28.2516
t=33645ms tc=28.2420
t=33727ms tc=28.2329
t=33809ms tc=28.2324
t=33881ms tc=28.2324
t=34576ms tc=28.2323
t=34660ms tc=28.2283
t=34746ms tc=28.2228
t=34872ms tc=28.2128
t=35567ms tc=28.1984
t=35643ms tc=28.1933
t=35711ms tc=28.1836
t=35784ms tc=28.1834
t=35867ms tc=28.1831
t=36568ms tc=28.1790
t=36639ms tc=28.1740
t=36707ms tc=28.1740
t=36790ms tc=28.1640
t=36868ms tc=28.1534
t=37573ms tc=28.1431
t=37648ms tc=28.1430
t=37731ms tc=28.1384
t=37801ms tc=28.1228
t=37872ms tc=28.1137
t=38577ms tc=28.1130
t=38651ms tc=28.1026
t=38720ms tc=28.1026
t=38803ms tc=28.0825
t=38876ms tc=28.0822
t=39567ms tc=28.0715
t=39641ms tc=28.0606
t=39716ms tc=28.0554
t=39784ms tc=28.0385
t=39859ms tc=28.0379
t=39938ms tc=28.0339
t=40563ms tc=28.0285
t=40640ms tc=28.0284
t=40721ms tc=28.0282
t=40798ms tc=28.0273
t=40874ms tc=28.0220
t=40942ms tc=28.0173
t=41013ms tc=28.0121
t=41084ms tc=28.0064
t=41156ms tc=27.9953
t=41224ms tc=27.9847
t=41560ms tc=27.9845
t=41636ms tc=27.9782
t=41710ms tc=27.9725
t=41787ms tc=27.9664
t=41862ms tc=27.9492
t=42567ms tc=27.9489
t=42646ms tc=27.9372
t=42719ms tc=27.9261
t=42790ms tc=27.9250
t=42858ms tc=27.9250
t=43568ms tc=27.9248
