tc_greedy=17.0792 tc_ve=16.9141 best_seed=16.9141 t=682ms
t=3107ms tc=16.9127
t=3323ms tc=16.9114
t=3493ms tc=16.9074
t=3707ms tc=16.9034
t=3909ms tc=16.9018
t=4094ms tc=16.8951
t=4281ms tc=16.8933
t=4440ms tc=16.8908
t=4635ms tc=16.8856
t=4829ms tc=16.8811
t=5086ms tc=16.8801
t=5244ms tc=16.8720
t=5390ms tc=16.8679
t=5530ms tc=16.8673
t=5670ms tc=16.8621
t=5916ms tc=16.8613
t=6116ms tc=16.8593
t=6269ms tc=16.8563
t=6413ms tc=16.8511
t=6555ms tc=16.8509
t=6694ms tc=16.8498
t=6831ms tc=16.8456
t=7016ms tc=16.8454
t=7182ms tc=16.8427
t=7340ms tc=16.8387
t=7481ms tc=16.8348
t=7616ms tc=16.8337
t=7861ms tc=16.8334
t=8172ms tc=16.8294
t=8331ms tc=16.8285
t=8470ms tc=16.8281
t=8673ms tc=16.8276
t=8833ms tc=16.8250
t=9056ms tc=16.8245
t=9206ms tc=16.8205
t=9474ms tc=16.8177
t=9655ms tc=16.8155
t=9785ms tc=16.8141
t=9911ms tc=16.8084
t=10200ms tc=16.8082
t=10324ms tc=16.8037
t=10442ms tc=16.8022
t=10640ms tc=16.8017
t=10782ms tc=16.8004
t=11024ms tc=16.7967
t=11265ms tc=16.7952
t=11470ms tc=16.7922
t=11584ms tc=16.7913
t=11782ms tc=16.7901
t=11906ms tc=16.7894
t=12052ms tc=16.7884
t=12188ms tc=16.7879
t=16808ms tc=16.7873
t=16935ms tc=16.7871
t=17104ms tc=16.7869
t=21755ms tc=16.7862
t=30669ms tc=16.7853
t=44156ms tc=16.7850
t=48834ms tc=16.7844
t=48947ms tc=16.7841
t=53594ms tc=16.7839
t=57994ms tc=16.7832
t=71119ms tc=16.7827
t=71273ms tc=16.7827
anneal_sweeps=33277 cycles=18 fresh=0
t_final=87301ms tc_final=16.7827 ve_fits=true
