t_ve=2ms ve_width=29.00 ve_tc=30.6717
tc_greedy=31.7987 tc_ve=29.4305 best_seed=29.4305 t=313ms
t=1251ms tc=29.4168
t=1402ms tc=29.4165
t=1547ms tc=29.3834
t=2247ms tc=29.3665
t=2394ms tc=29.3630
t=2546ms tc=29.3516
t=3241ms tc=29.3292
t=3408ms tc=29.3118
t=3574ms tc=29.2977
t=3730ms tc=29.2874
t=4230ms tc=29.2189
t=4366ms tc=29.2024
t=4507ms tc=29.1812
t=4633ms tc=29.1435
t=5243ms tc=29.1360
t=5381ms tc=29.1190
t=5512ms tc=29.1124
t=6343ms tc=29.1066
t=6515ms tc=29.0866
t=6646ms tc=29.0345
t=7236ms tc=29.0234
t=7367ms tc=29.0013
t=7492ms tc=28.9929
t=8239ms tc=28.9879
t=8360ms tc=28.9827
t=8478ms tc=28.9747
t=9239ms tc=28.9659
t=9361ms tc=28.9605
t=9492ms tc=28.9425
t=10237ms tc=28.9391
t=10368ms tc=28.9228
t=10486ms tc=28.9160
t=11237ms tc=28.8946
t=11369ms tc=28.8830
t=11487ms tc=28.8750
t=11630ms tc=28.8550
t=12243ms tc=28.8291
t=12373ms tc=28.8211
t=12503ms tc=28.8190
t=13238ms tc=28.8173
t=13368ms tc=28.8063
t=13504ms tc=28.7990
t=13618ms tc=28.7969
t=13737ms tc=28.7490
t=13865ms tc=28.7281
t=14234ms tc=28.7090
t=14365ms tc=28.6972
t=14483ms tc=28.6377
t=14600ms tc=28.6231
t=14716ms tc=28.6069
t=15237ms tc=28.6005
t=15368ms tc=28.6004
t=15462ms tc=28.5435
t=15569ms tc=28.5319
t=16236ms tc=28.5278
t=16325ms tc=28.5242
t=16420ms tc=28.5206
t=16511ms tc=28.5124
t=17237ms tc=28.5114
t=17335ms tc=28.5054
t=17431ms tc=28.4884
t=17543ms tc=28.4864
t=17652ms tc=28.4709
t=17740ms tc=28.4627
t=18239ms tc=28.4556
t=18333ms tc=28.4276
t=18420ms tc=28.4270
t=18533ms tc=28.4124
t=19238ms tc=28.3986
t=19319ms tc=28.3892
t=19403ms tc=28.3816
t=19489ms tc=28.3598
t=19569ms tc=28.3418
t=20228ms tc=28.3378
t=20323ms tc=28.3220
t=20405ms tc=28.3168
t=20485ms tc=28.3075
t=20564ms tc=28.2847
t=20652ms tc=28.2753
t=20737ms tc=28.2740
t=20809ms tc=28.2737
t=21232ms tc=28.2691
t=21308ms tc=28.2592
t=21393ms tc=28.2543
t=21492ms tc=28.2540
t=21567ms tc=28.2404
t=21647ms tc=28.2252
t=21723ms tc=28.2129
t=21802ms tc=28.1836
t=21878ms tc=28.1735
t=21964ms tc=28.1676
t=22234ms tc=28.1602
t=22308ms tc=28.1536
t=22381ms tc=28.1434
t=22459ms tc=28.1282
t=22552ms tc=28.1246
t=22626ms tc=28.1245
t=22698ms tc=28.1024
t=22776ms tc=28.1023
t=22851ms tc=28.0971
t=23222ms tc=28.0831
t=23299ms tc=28.0716
t=23375ms tc=28.0659
t=23446ms tc=28.0379
t=23526ms tc=28.0288
t=23609ms tc=28.0153
t=23682ms tc=28.0048
t=23761ms tc=28.0040
t=23838ms tc=27.9874
t=23920ms tc=27.9828
t=23988ms tc=27.9715
t=24232ms tc=27.9319
t=24305ms tc=27.9229
t=24386ms tc=27.9216
t=24482ms tc=27.9175
t=24552ms tc=27.8996
t=24624ms tc=27.8966
t=24698ms tc=27.8859
t=24775ms tc=27.8804
t=24862ms tc=27.8724
t=24930ms tc=27.8600
t=25016ms tc=27.8600
t=25231ms tc=27.8486
t=25299ms tc=27.8359
t=25368ms tc=27.8358
t=25439ms tc=27.8358
t=25507ms tc=27.8358
t=25574ms tc=27.8358
t=25662ms tc=27.8228
t=25732ms tc=27.8148
t=25806ms tc=27.8108
t=25879ms tc=27.8011
t=25954ms tc=27.8011
t=26233ms tc=27.8003
t=26310ms tc=27.8003
t=26390ms tc=27.7877
t=26460ms tc=27.7877
t=26531ms tc=27.7746
t=26599ms tc=27.7707
t=26672ms tc=27.7707
t=26741ms tc=27.7574
t=26816ms tc=27.7573
t=26883ms tc=27.7573
t=26949ms tc=27.7573
t=27235ms tc=27.7573
t=27306ms tc=27.7573
t=27376ms tc=27.7571
t=27503ms tc=27.7357
t=27570ms tc=27.7238
t=27645ms tc=27.7229
t=27759ms tc=27.7109
t=27827ms tc=27.6989
t=27899ms tc=27.6850
t=27967ms tc=27.6779
t=28038ms tc=27.6744
t=28234ms tc=27.6566
t=28304ms tc=27.6566
t=28388ms tc=27.6487
t=28458ms tc=27.6456
t=28528ms tc=27.6447
t=28601ms tc=27.6211
t=28673ms tc=27.6100
t=28742ms tc=27.6027
t=28810ms tc=27.6027
t=28875ms tc=27.6017
t=29223ms tc=27.6008
t=29296ms tc=27.5989
t=29372ms tc=27.5858
t=29444ms tc=27.5850
t=29512ms tc=27.5849
t=29582ms tc=27.5849
t=29646ms tc=27.5849
t=29716ms tc=27.5845
t=29789ms tc=27.5844
t=29855ms tc=27.5839
t=29923ms tc=27.5832
t=30228ms tc=27.5832
t=30311ms tc=27.5778
t=30381ms tc=27.5777
t=30451ms tc=27.5769
t=30515ms tc=27.5768
t=30590ms tc=27.5641
t=30653ms tc=27.5484
t=30722ms tc=27.5212
t=30790ms tc=27.5184
t=30856ms tc=27.5184
t=30921ms tc=27.5056
t=30985ms tc=27.5046
t=31230ms tc=27.5035
t=31293ms tc=27.4895
t=31359ms tc=27.4876
t=31421ms tc=27.4876
t=31483ms tc=27.4552
t=31540ms tc=27.4548
t=31599ms tc=27.4543
t=31658ms tc=27.4543
t=31721ms tc=27.4273
t=32227ms tc=27.4273
t=32286ms tc=27.4273
t=32344ms tc=27.4273
t=32408ms tc=27.4252
t=32469ms tc=27.4251
t=32528ms tc=27.4251
t=32586ms tc=27.4124
t=33227ms tc=27.4124
t=33285ms tc=27.3784
t=33350ms tc=27.3784
t=33410ms tc=27.3783
t=33476ms tc=27.3783
t=33538ms tc=27.3762
t=33603ms tc=27.3761
t=34233ms tc=27.3761
t=34293ms tc=27.3750
t=34360ms tc=27.3734
t=34426ms tc=27.3685
t=34485ms tc=27.3685
t=34543ms tc=27.3685
t=35226ms tc=27.3598
t=35285ms tc=27.3582
t=35353ms tc=27.3560
t=35419ms tc=27.3559
t=35488ms tc=27.3558
t=35559ms tc=27.3373
t=36229ms tc=27.3372
t=36295ms tc=27.3372
t=36359ms tc=27.3371
t=36421ms tc=27.3237
t=36485ms tc=27.3237
t=36542ms tc=27.3236
t=36601ms tc=27.3146
t=37235ms tc=27.3097
t=37295ms tc=27.3096
t=37355ms tc=27.3073
t=37417ms tc=27.3024
t=37483ms tc=27.3024
t=37571ms tc=27.2644
t=37632ms tc=27.2644
t=37696ms tc=27.2638
t=37758ms tc=27.2638
t=37825ms tc=27.2473
t=38230ms tc=27.2473
t=38289ms tc=27.2473
t=38353ms tc=27.2473
t=38421ms tc=27.2473
t=38492ms tc=27.2306
t=38550ms tc=27.2306
t=38620ms tc=27.2295
t=38680ms tc=27.2289
t=38745ms tc=27.2289
t=38815ms tc=27.2120
t=38875ms tc=27.2108
t=38936ms tc=27.2108
t=39228ms tc=27.2108
t=39302ms tc=27.2108
t=39383ms tc=27.2108
t=39460ms tc=27.2108
t=39522ms tc=27.2095
t=39587ms tc=27.2089
t=39648ms tc=27.2089
t=39715ms tc=27.2089
t=41387ms tc=27.2070
t=41471ms tc=27.2069
t=41542ms tc=27.1873
t=41605ms tc=27.1677
t=41673ms tc=27.1677
t=41743ms tc=27.1676
t=41811ms tc=27.1675
t=41876ms tc=27.1486
t=41945ms tc=27.1486
t=42013ms tc=27.1485
t=42084ms tc=27.1485
t=42373ms tc=27.1484
t=42440ms tc=27.1472
t=42509ms tc=27.1471
t=42584ms tc=27.1471
t=42658ms tc=27.1468
t=42732ms tc=27.1456
t=42803ms tc=27.1456
t=42871ms tc=27.1456
t=42944ms tc=27.1251
t=43024ms tc=27.1251
t=43102ms tc=27.1250
t=43223ms tc=27.1250
t=43337ms tc=27.1094
t=43405ms tc=27.1069
t=43482ms tc=27.1068
t=43553ms tc=27.1055
t=43624ms tc=27.1055
t=43704ms tc=27.1055
t=43780ms tc=27.1055
t=43978ms tc=27.1055
t=44047ms tc=27.1055
t=44146ms tc=27.1048
t=44233ms tc=27.1045
t=44304ms tc=27.1045
t=44374ms tc=27.1045
t=44443ms tc=27.0837
t=44508ms tc=27.0836
t=44572ms tc=27.0836
t=44693ms tc=27.0834
t=44777ms tc=27.0831
t=44843ms tc=27.0831
t=44933ms tc=27.0831
t=45026ms tc=27.0643
t=45232ms tc=27.0631
t=45302ms tc=27.0630
t=45368ms tc=27.0622
t=45437ms tc=27.0621
t=47494ms tc=27.0532
t=47564ms tc=27.0532
t=47636ms tc=27.0530
t=47718ms tc=27.0529
t=47785ms tc=27.0528
t=47858ms tc=27.0528
t=47932ms tc=27.0528
t=48008ms tc=27.0323
t=48076ms tc=27.0323
t=48143ms tc=27.0323
t=48214ms tc=27.0321
t=48288ms tc=27.0308
t=48359ms tc=27.0308
t=48447ms tc=27.0211
t=48528ms tc=27.0085
t=48597ms tc=27.0085
t=48674ms tc=27.0071
t=48747ms tc=27.0071
t=48822ms tc=26.9987
t=48892ms tc=26.9973
t=48962ms tc=26.9973
t=49028ms tc=26.9888
t=49229ms tc=26.9874
t=49298ms tc=26.9874
t=49365ms tc=26.9874
t=49435ms tc=26.9874
t=49532ms tc=26.9874
t=49621ms tc=26.9645
t=49689ms tc=26.9645
t=49755ms tc=26.9645
t=49828ms tc=26.9294
t=49904ms tc=26.9294
t=49975ms tc=26.9294
t=50230ms tc=26.9206
t=50301ms tc=26.9205
t=50367ms tc=26.9191
t=50439ms tc=26.9190
t=50510ms tc=26.9190
t=50582ms tc=26.9175
t=50652ms tc=26.9175
t=50724ms tc=26.9175
t=50792ms tc=26.9175
t=50880ms tc=26.9013
t=50950ms tc=26.9012
t=51235ms tc=26.8998
t=51310ms tc=26.8979
t=51395ms tc=26.8978
t=51468ms tc=26.8978
t=51540ms tc=26.8975
t=55569ms tc=26.8830
t=55659ms tc=26.8816
t=55748ms tc=26.8664
t=55830ms tc=26.8660
t=55910ms tc=26.8598
t=55991ms tc=26.8100
t=56069ms tc=26.8068
t=56146ms tc=26.7931
t=56228ms tc=26.7735
t=56310ms tc=26.7734
t=56391ms tc=26.7700
t=56509ms tc=26.7667
t=56670ms tc=26.7281
t=56762ms tc=26.7280
t=56846ms tc=26.7280
t=56930ms tc=26.7280
t=57016ms tc=26.7178
t=57223ms tc=26.7178
t=57310ms tc=26.7144
t=57408ms tc=26.7041
t=57489ms tc=26.7006
t=57597ms tc=26.6901
t=57678ms tc=26.6900
t=57763ms tc=26.6900
t=57851ms tc=26.6865
t=57934ms tc=26.6865
t=58226ms tc=26.6830
t=58308ms tc=26.6830
t=58383ms tc=26.6656
t=58459ms tc=26.6656
t=58541ms tc=26.6655
t=58622ms tc=26.6655
t=58705ms tc=26.6654
t=58786ms tc=26.6652
t=58870ms tc=26.6652
t=58948ms tc=26.6580
t=59234ms tc=26.6580
