tc_greedy=17.0967 tc_ve=16.9141 best_seed=16.9141 t=778ms
t=3182ms tc=16.9115
t=3485ms tc=16.9087
t=3776ms tc=16.9061
t=4020ms tc=16.9010
t=4214ms tc=16.9000
t=4408ms tc=16.8942
t=4616ms tc=16.8886
t=4812ms tc=16.8847
t=5085ms tc=16.8816
t=5332ms tc=16.8800
t=5613ms tc=16.8794
t=5814ms tc=16.8765
t=6036ms tc=16.8749
t=6265ms tc=16.8720
t=6611ms tc=16.8694
t=6856ms tc=16.8650
t=7122ms tc=16.8558
t=7319ms tc=16.8541
t=7612ms tc=16.8450
t=7923ms tc=16.8436
t=8120ms tc=16.8423
t=8357ms tc=16.8393
t=8610ms tc=16.8393
t=8869ms tc=16.8392
t=9063ms tc=16.8366
t=9251ms tc=16.8346
t=9608ms tc=16.8337
t=9834ms tc=16.8293
t=10052ms tc=16.8223
t=10356ms tc=16.8212
t=10561ms tc=16.8177
t=10751ms tc=16.8153
t=10963ms tc=16.8144
t=11283ms tc=16.8142
t=11607ms tc=16.8124
t=11812ms tc=16.8120
t=12014ms tc=16.8114
t=12217ms tc=16.8095
t=12605ms tc=16.8087
t=12849ms tc=16.8064
t=13101ms tc=16.8044
t=13287ms tc=16.8043
t=13544ms tc=16.8006
t=13746ms tc=16.7995
t=13940ms tc=16.7989
t=14126ms tc=16.7953
t=14456ms tc=16.7937
t=14639ms tc=16.7926
t=14907ms tc=16.7925
t=15121ms tc=16.7922
t=15303ms tc=16.7896
t=15647ms tc=16.7890
t=15841ms tc=16.7867
t=16037ms tc=16.7842
t=42734ms tc=16.7836
t=42863ms tc=16.7833
anneal_sweeps=32452 cycles=17 fresh=0
t_final=87301ms tc_final=16.7833 ve_fits=true
