tc_greedy=34.7238 tc_ve=29.4305 best_seed=29.4305 t=539ms
t=1364ms tc=29.3702
t=1557ms tc=29.3605
t=1698ms tc=29.3498
t=1856ms tc=29.3386
t=2009ms tc=29.3204
t=2159ms tc=29.3015
t=2298ms tc=29.3013
t=2524ms tc=29.2562
t=2687ms tc=29.2524
t=2829ms tc=29.2169
t=2976ms tc=29.2163
t=3523ms tc=29.2061
t=3652ms tc=29.1715
t=3823ms tc=29.1637
t=4511ms tc=29.1466
t=4643ms tc=29.1305
t=4775ms tc=29.1297
t=4911ms tc=29.1288
t=5036ms tc=29.1034
t=5171ms tc=29.0752
t=5522ms tc=29.0457
t=5653ms tc=29.0075
t=5800ms tc=28.9675
t=6517ms tc=28.9529
t=6646ms tc=28.9515
t=6781ms tc=28.9311
t=7521ms tc=28.9016
t=7661ms tc=28.8786
t=7781ms tc=28.8642
t=8519ms tc=28.8535
t=8642ms tc=28.8476
t=8777ms tc=28.8378
t=9508ms tc=28.8276
t=9637ms tc=28.8182
t=9771ms tc=28.8112
t=10508ms tc=28.8083
t=10623ms tc=28.7743
t=10741ms tc=28.7539
t=10859ms tc=28.7514
t=10965ms tc=28.7376
t=11519ms tc=28.7128
t=11637ms tc=28.7046
t=11764ms tc=28.6971
t=12507ms tc=28.6963
t=12622ms tc=28.6687
t=12740ms tc=28.6587
t=12862ms tc=28.6577
t=13513ms tc=28.6396
t=13627ms tc=28.6230
t=13743ms tc=28.6124
t=13864ms tc=28.6006
t=14000ms tc=28.6001
t=14100ms tc=28.5962
t=14505ms tc=28.5834
t=14632ms tc=28.5770
t=14728ms tc=28.5657
t=14845ms tc=28.5576
t=14981ms tc=28.5488
t=15099ms tc=28.5388
t=15200ms tc=28.5380
t=15316ms tc=28.5026
t=15517ms tc=28.4881
t=15626ms tc=28.4864
t=15719ms tc=28.4854
t=15821ms tc=28.4798
t=16517ms tc=28.4779
t=16604ms tc=28.4763
t=16700ms tc=28.4696
t=16795ms tc=28.4652
t=16884ms tc=28.4527
t=17516ms tc=28.4319
t=17603ms tc=28.4159
t=17695ms tc=28.4068
t=17790ms tc=28.4065
t=17875ms tc=28.4004
t=18513ms tc=28.3962
t=18611ms tc=28.3765
t=18698ms tc=28.3764
t=18787ms tc=28.3588
t=18890ms tc=28.3427
t=18981ms tc=28.3329
t=19080ms tc=28.3256
t=19516ms tc=28.3129
t=19607ms tc=28.3081
t=19699ms tc=28.2959
t=19792ms tc=28.2919
t=19880ms tc=28.2910
t=19967ms tc=28.2904
t=20054ms tc=28.2859
t=20143ms tc=28.2846
t=20509ms tc=28.2785
t=20596ms tc=28.2506
t=20682ms tc=28.2371
t=20769ms tc=28.2363
t=20854ms tc=28.2303
t=20936ms tc=28.2148
t=21017ms tc=28.2134
t=21099ms tc=28.1929
t=21508ms tc=28.1804
t=21604ms tc=28.1799
t=21693ms tc=28.1793
t=21781ms tc=28.1749
t=21867ms tc=28.1356
t=22516ms tc=28.1187
t=22599ms tc=28.1165
t=22684ms tc=28.1142
t=22773ms tc=28.0923
t=22858ms tc=28.0709
t=22937ms tc=28.0696
t=23516ms tc=28.0585
t=23603ms tc=28.0585
t=23689ms tc=28.0476
t=23779ms tc=28.0452
t=24507ms tc=28.0425
t=24586ms tc=28.0322
t=24665ms tc=28.0176
t=24748ms tc=27.9998
t=24819ms tc=27.9946
t=24905ms tc=27.9895
t=24985ms tc=27.9735
t=25064ms tc=27.9641
t=25507ms tc=27.9612
t=25587ms tc=27.9569
t=25663ms tc=27.9438
t=25744ms tc=27.9137
t=25821ms tc=27.9131
t=25900ms tc=27.8978
t=25979ms tc=27.8863
t=26055ms tc=27.8863
t=26150ms tc=27.8749
t=26506ms tc=27.8532
t=26588ms tc=27.8492
t=26667ms tc=27.8423
t=26789ms tc=27.8375
t=26869ms tc=27.8365
t=26950ms tc=27.8304
t=27028ms tc=27.8209
t=27107ms tc=27.8016
t=27184ms tc=27.7953
t=27257ms tc=27.7838
t=27512ms tc=27.7787
t=27591ms tc=27.7779
t=27670ms tc=27.7640
t=27748ms tc=27.7556
t=27825ms tc=27.7244
t=27906ms tc=27.7148
t=27983ms tc=27.7112
t=28057ms tc=27.7106
t=28129ms tc=27.7036
t=28509ms tc=27.6897
t=28608ms tc=27.6866
t=28687ms tc=27.6822
t=28771ms tc=27.6809
t=28847ms tc=27.6770
t=28920ms tc=27.6768
t=28995ms tc=27.6419
t=29063ms tc=27.6365
t=29136ms tc=27.6254
t=29206ms tc=27.6249
t=29511ms tc=27.6197
t=29585ms tc=27.6114
t=29659ms tc=27.5905
t=29736ms tc=27.5788
t=29812ms tc=27.5759
t=29884ms tc=27.5719
t=29959ms tc=27.5719
t=30037ms tc=27.5612
t=30106ms tc=27.5605
t=30177ms tc=27.5530
t=30510ms tc=27.5527
t=30579ms tc=27.5486
t=30650ms tc=27.5477
t=30718ms tc=27.5400
t=30787ms tc=27.5400
t=30861ms tc=27.5374
t=30938ms tc=27.5315
t=31013ms tc=27.5284
t=31090ms tc=27.5283
t=31162ms tc=27.5283
t=31507ms tc=27.5277
t=31580ms tc=27.5277
t=31653ms tc=27.5275
t=31724ms tc=27.5270
t=31801ms tc=27.5268
t=31886ms tc=27.5252
t=31959ms tc=27.5252
t=32041ms tc=27.5135
t=32118ms tc=27.5134
t=32189ms tc=27.5115
t=32500ms tc=27.5066
t=32574ms tc=27.4930
t=32645ms tc=27.4926
t=32715ms tc=27.4917
t=32810ms tc=27.4903
t=32882ms tc=27.4903
t=32965ms tc=27.4839
t=33041ms tc=27.4741
t=33113ms tc=27.4741
t=33187ms tc=27.4741
t=33287ms tc=27.4738
t=33511ms tc=27.4738
t=33629ms tc=27.4737
t=33738ms tc=27.4656
t=33812ms tc=27.4595
t=33888ms tc=27.4595
t=33961ms tc=27.4589
t=34033ms tc=27.4589
t=34110ms tc=27.4585
t=34184ms tc=27.4584
t=34499ms tc=27.4579
t=34576ms tc=27.4579
t=34650ms tc=27.4436
t=34724ms tc=27.4436
t=34812ms tc=27.4435
t=34883ms tc=27.4435
t=34957ms tc=27.4435
t=35029ms tc=27.4435
t=35104ms tc=27.4434
t=35179ms tc=27.4434
t=35499ms tc=27.4434
t=35599ms tc=27.4333
t=35672ms tc=27.4187
t=35742ms tc=27.4186
t=35815ms tc=27.4186
t=35887ms tc=27.4175
t=35962ms tc=27.4175
t=36038ms tc=27.4173
t=36106ms tc=27.4173
t=36187ms tc=27.4157
t=36255ms tc=27.4139
t=36509ms tc=27.4133
t=36582ms tc=27.4133
t=36665ms tc=27.4008
t=36742ms tc=27.4006
t=36813ms tc=27.3984
t=36886ms tc=27.3853
t=36955ms tc=27.3680
t=37027ms tc=27.3679
t=37104ms tc=27.3658
t=37172ms tc=27.3527
t=37508ms tc=27.3526
t=37572ms tc=27.3505
t=37645ms tc=27.3493
t=37718ms tc=27.3492
t=37788ms tc=27.3492
t=37860ms tc=27.3492
t=37931ms tc=27.3492
t=38001ms tc=27.3315
t=38073ms tc=27.3315
t=38157ms tc=27.3315
t=38512ms tc=27.3315
t=38593ms tc=27.3314
t=38672ms tc=27.3309
t=38743ms tc=27.3309
t=38823ms tc=27.3309
t=38899ms tc=27.3309
t=38978ms tc=27.3307
t=39053ms tc=27.3307
t=39132ms tc=27.3307
t=39223ms tc=27.3306
t=39505ms tc=27.3306
t=39580ms tc=27.3306
t=39654ms tc=27.3306
t=39728ms tc=27.3306
t=39808ms tc=27.3306
t=39883ms tc=27.3306
t=39957ms tc=27.3306
t=40037ms tc=27.3306
t=40127ms tc=27.3306
t=40265ms tc=27.3261
t=40509ms tc=27.3260
t=40581ms tc=27.3215
t=40651ms tc=27.3056
t=40728ms tc=27.3056
t=40798ms tc=27.3056
t=40880ms tc=27.2965
t=40950ms tc=27.2965
t=41037ms tc=27.2953
t=41104ms tc=27.2953
t=41180ms tc=27.2953
t=42744ms tc=27.2854
t=42812ms tc=27.2854
t=42886ms tc=27.2831
t=42982ms tc=27.2660
t=43047ms tc=27.2658
t=43114ms tc=27.2657
t=43510ms tc=27.2656
t=43576ms tc=27.2468
t=43647ms tc=27.2468
t=43717ms tc=27.2460
t=43784ms tc=27.2460
t=43850ms tc=27.2460
t=44511ms tc=27.2449
t=44629ms tc=27.2383
t=44700ms tc=27.2371
t=44769ms tc=27.2276
t=44840ms tc=27.2274
t=45508ms tc=27.2273
t=45575ms tc=27.2103
t=45646ms tc=27.2103
t=45722ms tc=27.2087
t=45805ms tc=27.2075
t=46503ms tc=27.2072
t=46604ms tc=27.1903
t=46683ms tc=27.1900
t=46743ms tc=27.1900
t=46815ms tc=27.1899
t=46886ms tc=27.1898
t=47507ms tc=27.1898
t=47575ms tc=27.1886
t=47648ms tc=27.1879
t=47726ms tc=27.1864
t=47791ms tc=27.1863
t=47862ms tc=27.1863
t=48516ms tc=27.1655
t=48585ms tc=27.1629
t=48650ms tc=27.1629
t=48721ms tc=27.1439
t=48789ms tc=27.1439
t=48855ms tc=27.1439
t=49513ms tc=27.1427
t=49598ms tc=27.1225
t=49667ms tc=27.1141
t=49739ms tc=27.1131
t=49858ms tc=27.1079
t=50507ms tc=27.1077
t=50576ms tc=27.1051
t=50639ms tc=27.0626
t=50716ms tc=27.0446
t=50790ms tc=27.0439
t=50866ms tc=27.0439
t=51504ms tc=27.0439
t=51570ms tc=27.0433
t=51638ms tc=27.0399
t=51705ms tc=27.0399
t=51773ms tc=27.0399
t=51839ms tc=27.0399
t=51918ms tc=27.0399
t=51992ms tc=27.0398
t=52083ms tc=27.0178
t=52172ms tc=27.0177
t=52264ms tc=27.0177
t=52506ms tc=27.0177
t=52572ms tc=27.0177
t=52637ms tc=27.0149
t=52706ms tc=27.0143
t=52771ms tc=27.0139
t=52856ms tc=27.0139
t=52930ms tc=26.9956
t=53507ms tc=26.9942
t=53567ms tc=26.9942
t=53631ms tc=26.9942
t=53694ms tc=26.9942
t=53778ms tc=26.9942
t=53846ms tc=26.9771
t=54508ms tc=26.9771
t=54577ms tc=26.9769
t=54644ms tc=26.9761
t=54704ms tc=26.9733
t=54766ms tc=26.9545
t=54830ms tc=26.9544
t=55505ms tc=26.9494
t=55585ms tc=26.9494
t=55653ms tc=26.9494
t=55723ms tc=26.9435
t=55788ms tc=26.9435
t=55848ms tc=26.9317
t=55912ms tc=26.9288
t=55977ms tc=26.8868
t=56040ms tc=26.8853
t=56104ms tc=26.8853
t=56512ms tc=26.8830
t=56580ms tc=26.8829
t=56670ms tc=26.8799
t=56743ms tc=26.8792
