tc_greedy=33.2973 tc_ve=29.4305 best_seed=29.4305 t=309ms
t=1086ms tc=29.3711
t=1214ms tc=29.3410
t=1344ms tc=29.3235
t=2073ms tc=29.2891
t=2227ms tc=29.2643
t=2363ms tc=29.2577
t=3079ms tc=29.2282
t=3218ms tc=29.2212
t=3341ms tc=29.1805
t=4081ms tc=29.1751
t=4207ms tc=29.1616
t=4342ms tc=29.1613
t=5073ms tc=29.1450
t=5195ms tc=29.1344
t=5315ms tc=29.1301
t=6080ms tc=29.0907
t=6211ms tc=29.0412
t=6342ms tc=29.0227
t=7080ms tc=29.0204
t=7201ms tc=29.0111
t=7355ms tc=29.0064
t=8076ms tc=29.0000
t=8195ms tc=28.9765
t=8311ms tc=28.9591
t=9076ms tc=28.9522
t=9190ms tc=28.9392
t=9325ms tc=28.9357
t=10070ms tc=28.9266
t=10180ms tc=28.9205
t=10298ms tc=28.8958
t=11064ms tc=28.8649
t=11196ms tc=28.8459
t=11304ms tc=28.8291
t=12062ms tc=28.7990
t=12170ms tc=28.7956
t=12283ms tc=28.7560
t=12393ms tc=28.7524
t=13074ms tc=28.7211
t=13198ms tc=28.6906
t=13303ms tc=28.6686
t=14066ms tc=28.6555
t=14192ms tc=28.6524
t=14280ms tc=28.6487
t=14384ms tc=28.6452
t=15069ms tc=28.6337
t=15162ms tc=28.6224
t=15256ms tc=28.6118
t=15365ms tc=28.5897
t=15482ms tc=28.5880
t=15586ms tc=28.5770
t=16068ms tc=28.5702
t=16166ms tc=28.5587
t=16263ms tc=28.5562
t=16356ms tc=28.5478
t=16464ms tc=28.5279
t=17064ms tc=28.5277
t=17153ms tc=28.5042
t=17248ms tc=28.4891
t=17354ms tc=28.4554
t=18062ms tc=28.4473
t=18163ms tc=28.4393
t=18249ms tc=28.4145
t=18350ms tc=28.4031
t=18445ms tc=28.3971
t=19071ms tc=28.3941
t=19165ms tc=28.3856
t=19257ms tc=28.3661
t=19341ms tc=28.3632
t=20078ms tc=28.3412
t=20171ms tc=28.3387
t=20247ms tc=28.3386
t=20323ms tc=28.3337
t=21061ms tc=28.3219
t=21140ms tc=28.3218
t=21225ms tc=28.3214
t=21301ms tc=28.2941
t=21383ms tc=28.2852
t=22073ms tc=28.2794
t=22159ms tc=28.2768
t=22238ms tc=28.2750
t=22317ms tc=28.2616
t=23064ms tc=28.2475
t=23153ms tc=28.2450
t=23234ms tc=28.2337
t=23311ms tc=28.2123
t=24062ms tc=28.2116
t=24144ms tc=28.2031
t=24230ms tc=28.2012
t=24302ms tc=28.2011
t=24382ms tc=28.1924
t=24465ms tc=28.1901
t=24591ms tc=28.1768
t=25060ms tc=28.1574
t=25140ms tc=28.1286
t=25213ms tc=28.1179
t=25295ms tc=28.1176
t=25370ms tc=28.1176
t=25454ms tc=28.0982
t=26055ms tc=28.0931
t=26133ms tc=28.0823
t=26209ms tc=28.0608
t=26292ms tc=28.0508
t=26367ms tc=28.0450
t=27068ms tc=28.0399
t=27139ms tc=28.0392
t=27215ms tc=28.0312
t=27289ms tc=28.0311
t=28061ms tc=28.0197
t=28157ms tc=28.0065
t=28231ms tc=28.0064
t=28313ms tc=27.9957
t=28382ms tc=27.9847
t=28450ms tc=27.9846
t=29057ms tc=27.9731
t=29120ms tc=27.9731
t=29195ms tc=27.9671
t=29262ms tc=27.9620
t=29333ms tc=27.9567
t=30064ms tc=27.9445
t=30132ms tc=27.9444
t=30207ms tc=27.9443
t=30271ms tc=27.9326
t=30341ms tc=27.9325
t=31064ms tc=27.9263
t=31137ms tc=27.9141
t=31207ms tc=27.9087
t=31283ms tc=27.8906
t=31355ms tc=27.8901
t=32071ms tc=27.8840
t=32152ms tc=27.8710
t=32224ms tc=27.8710
t=32292ms tc=27.8584
t=32356ms tc=27.8583
t=33063ms tc=27.8459
t=33129ms tc=27.8459
t=33192ms tc=27.8457
t=33263ms tc=27.8394
t=33335ms tc=27.8394
t=34063ms tc=27.8339
t=34134ms tc=27.8278
t=34207ms tc=27.8205
t=34279ms tc=27.8204
t=34363ms tc=27.8169
t=35077ms tc=27.8142
t=35168ms tc=27.8079
t=35239ms tc=27.7949
t=35317ms tc=27.7884
t=35387ms tc=27.7818
