tc_greedy=41.0988 tc_ve=26.8268 best_seed=26.8268 t=104ms
t=1047ms tc=26.8116
t=1056ms tc=26.8106
t=1065ms tc=26.8106
t=1074ms tc=26.8058
t=1093ms tc=26.7985
t=1103ms tc=26.7974
t=1114ms tc=26.7962
t=1126ms tc=26.7919
t=1186ms tc=26.7839
t=1196ms tc=26.7602
t=1206ms tc=26.7536
t=1216ms tc=26.7025
t=1242ms tc=26.6990
t=1252ms tc=26.6982
t=1261ms tc=26.6975
t=1278ms tc=26.6863
t=1289ms tc=26.6856
t=1298ms tc=26.6823
t=1308ms tc=26.6813
t=1316ms tc=26.6754
t=1325ms tc=26.6722
t=1335ms tc=26.6721
t=1350ms tc=26.6452
t=1359ms tc=26.6420
t=1368ms tc=26.6420
t=1384ms tc=26.5939
t=1392ms tc=26.5935
t=1401ms tc=26.5934
t=1411ms tc=26.5930
t=1426ms tc=26.5868
t=1436ms tc=26.5604
t=1445ms tc=26.5525
t=1454ms tc=26.5517
t=1478ms tc=26.5509
t=1489ms tc=26.5257
t=1499ms tc=26.5185
t=1510ms tc=26.5180
t=1521ms tc=26.5096
t=1531ms tc=26.4630
t=1540ms tc=26.3456
t=1549ms tc=26.3378
t=1559ms tc=26.3369
t=1568ms tc=26.3289
t=1577ms tc=26.3286
t=1588ms tc=26.3266
t=1596ms tc=26.3166
t=1604ms tc=26.3006
t=1624ms tc=26.2780
t=1633ms tc=26.2692
t=1642ms tc=26.2653
t=1652ms tc=26.2631
t=1662ms tc=26.2485
t=1674ms tc=26.2470
t=1684ms tc=26.2396
t=1693ms tc=26.2396
t=1702ms tc=26.2359
t=1715ms tc=26.2178
t=1724ms tc=26.2169
t=1733ms tc=26.2122
t=1743ms tc=26.2080
t=1752ms tc=26.2079
t=1761ms tc=26.2077
t=1773ms tc=26.2071
t=1784ms tc=26.2070
t=1794ms tc=26.2034
t=1809ms tc=26.2001
t=1819ms tc=26.1984
t=1847ms tc=26.1919
t=1855ms tc=26.1913
t=80858ms tc=26.1719
t=80870ms tc=26.1716
t=80903ms tc=26.1698
t=80915ms tc=26.1693
t=80926ms tc=26.1682
t=80940ms tc=26.1428
t=80953ms tc=26.1417
t=80965ms tc=26.1410
t=80986ms tc=26.1266
t=81017ms tc=26.1229
t=81038ms tc=26.1213
t=81050ms tc=26.1210
t=81065ms tc=26.1095
t=81077ms tc=26.1027
t=81094ms tc=26.0956
t=81109ms tc=26.0856
t=81120ms tc=26.0845
t=81183ms tc=26.0845
t=81223ms tc=26.0788
t=81235ms tc=26.0787
t=81247ms tc=26.0786
t=81259ms tc=26.0784
t=81271ms tc=26.0783
t=81283ms tc=26.0774
t=81295ms tc=26.0773
t=81306ms tc=26.0772
t=81318ms tc=26.0772
t=81332ms tc=26.0735
t=81344ms tc=26.0730
t=81356ms tc=26.0722
t=81369ms tc=26.0718
t=81382ms tc=26.0714
t=81393ms tc=26.0700
t=81423ms tc=26.0696
t=81451ms tc=26.0696
t=81470ms tc=26.0689
anneal_sweeps=257090 cycles=134 fresh=0
t_final=87300ms tc_final=26.0689 ve_fits=true
