tc_greedy=17.0892 tc_ve=16.9141 best_seed=16.9141 t=890ms
t=3240ms tc=16.9128
t=3412ms tc=16.9124
t=3613ms tc=16.9087
t=3770ms tc=16.8973
t=3964ms tc=16.8968
t=4168ms tc=16.8966
t=4329ms tc=16.8922
t=4487ms tc=16.8843
t=4715ms tc=16.8821
t=4886ms tc=16.8804
t=5043ms tc=16.8802
t=5184ms tc=16.8754
t=5373ms tc=16.8731
t=5524ms tc=16.8664
t=5827ms tc=16.8657
t=5995ms tc=16.8598
t=6138ms tc=16.8507
t=6308ms tc=16.8499
t=6462ms tc=16.8493
t=6637ms tc=16.8457
t=6872ms tc=16.8450
t=7004ms tc=16.8404
t=7161ms tc=16.8385
t=7295ms tc=16.8344
t=7423ms tc=16.8292
t=7605ms tc=16.8281
t=7925ms tc=16.8263
t=8062ms tc=16.8248
t=8210ms tc=16.8215
t=8351ms tc=16.8210
t=8497ms tc=16.8209
t=8675ms tc=16.8192
t=8924ms tc=16.8179
t=9083ms tc=16.8172
t=9239ms tc=16.8129
t=9395ms tc=16.8089
t=9711ms tc=16.8066
t=9858ms tc=16.8064
t=10012ms tc=16.8048
t=10197ms tc=16.8026
t=10365ms tc=16.8010
t=10565ms tc=16.8006
t=10717ms tc=16.7991
t=10971ms tc=16.7956
t=11240ms tc=16.7955
t=11439ms tc=16.7937
t=11576ms tc=16.7916
t=11726ms tc=16.7910
t=11979ms tc=16.7908
t=12172ms tc=16.7887
t=12315ms tc=16.7875
t=12548ms tc=16.7868
t=16777ms tc=16.7841
t=42937ms tc=16.7835
t=55960ms tc=16.7826
t=60481ms tc=16.7800
anneal_sweeps=125540 cycles=66 fresh=0
t_final=291002ms tc_final=16.7800 ve_fits=true
