t_ve=4ms ve_width=8.00 ve_tc=16.9692
tc_greedy=17.0798 tc_ve=16.9141 best_seed=16.9141 t=726ms
t=3109ms tc=16.9049
t=3339ms tc=16.9043
t=3473ms tc=16.9020
t=3598ms tc=16.8944
t=3706ms tc=16.8896
t=3811ms tc=16.8805
t=3949ms tc=16.8803
t=4069ms tc=16.8802
t=4207ms tc=16.8715
t=4406ms tc=16.8707
t=4526ms tc=16.8658
t=4631ms tc=16.8645
t=4767ms tc=16.8607
t=4882ms tc=16.8596
t=5085ms tc=16.8578
t=5203ms tc=16.8573
t=5307ms tc=16.8480
t=5424ms tc=16.8444
t=5561ms tc=16.8397
t=5663ms tc=16.8347
t=5934ms tc=16.8342
t=6050ms tc=16.8336
t=6187ms tc=16.8312
t=6307ms tc=16.8309
t=6476ms tc=16.8298
t=6602ms tc=16.8295
t=6711ms tc=16.8275
t=6842ms tc=16.8235
t=6963ms tc=16.8217
t=7147ms tc=16.8187
t=7287ms tc=16.8160
t=7501ms tc=16.8124
t=7660ms tc=16.8106
t=7806ms tc=16.8087
t=7988ms tc=16.8071
t=8204ms tc=16.8061
t=8350ms tc=16.8045
t=8472ms tc=16.8042
t=8658ms tc=16.8042
t=8765ms tc=16.8038
t=8884ms tc=16.8022
t=9013ms tc=16.8014
t=9117ms tc=16.8004
t=9226ms tc=16.8004
t=9335ms tc=16.7926
t=9537ms tc=16.7922
t=9878ms tc=16.7916
t=10087ms tc=16.7913
t=10213ms tc=16.7904
t=10375ms tc=16.7900
t=10533ms tc=16.7896
t=10703ms tc=16.7895
t=10854ms tc=16.7871
t=15178ms tc=16.7841
t=19790ms tc=16.7832
t=32845ms tc=16.7826
t=32946ms tc=16.7824
t=33076ms tc=16.7823
t=33165ms tc=16.7820
t=102962ms tc=16.7813
t=220197ms tc=16.7796
t=246414ms tc=16.7785
anneal_sweeps=125173 cycles=66 fresh=0
t_final=291003ms tc_final=16.7785 ve_fits=true
