tc_greedy=17.0805 tc_ve=16.9141 best_seed=16.9141 t=837ms
t=3187ms tc=16.9057
t=3377ms tc=16.9039
t=3497ms tc=16.9024
t=3625ms tc=16.8898
t=3711ms tc=16.8829
t=3816ms tc=16.8819
t=3934ms tc=16.8817
t=4025ms tc=16.8773
t=4126ms tc=16.8759
t=4220ms tc=16.8722
t=4346ms tc=16.8697
t=4499ms tc=16.8668
t=4684ms tc=16.8644
t=4851ms tc=16.8622
t=4950ms tc=16.8583
t=5049ms tc=16.8538
t=5142ms tc=16.8474
t=5271ms tc=16.8456
t=5463ms tc=16.8423
t=5605ms tc=16.8396
t=5715ms tc=16.8357
t=5831ms tc=16.8341
t=5988ms tc=16.8280
t=6072ms tc=16.8224
t=6211ms tc=16.8222
t=6311ms tc=16.8209
t=6512ms tc=16.8190
t=6590ms tc=16.8179
t=6806ms tc=16.8176
t=6884ms tc=16.8083
t=7059ms tc=16.8079
t=7140ms tc=16.8065
t=7227ms tc=16.8063
t=7318ms tc=16.8047
t=7400ms tc=16.7993
t=7530ms tc=16.7960
t=7832ms tc=16.7955
t=7921ms tc=16.7921
t=8008ms tc=16.7914
t=8330ms tc=16.7896
t=8434ms tc=16.7896
t=8519ms tc=16.7888
t=8630ms tc=16.7877
t=8749ms tc=16.7842
t=8833ms tc=16.7832
t=8971ms tc=16.7816
t=60050ms tc=16.7805
t=72933ms tc=16.7798
t=117576ms tc=16.7797
t=483267ms tc=16.7787
t=551670ms tc=16.7781
anneal_sweeps=374879 cycles=196 fresh=0
t_final=873002ms tc_final=16.7781 ve_fits=true
