t_ve=4ms ve_width=8.00 ve_tc=16.9692
tc_greedy=17.1007 tc_ve=16.9141 best_seed=16.9141 t=613ms
t=3103ms tc=16.9128
t=3297ms tc=16.9116
t=3487ms tc=16.9103
t=3659ms tc=16.9092
t=3826ms tc=16.9072
t=4483ms tc=16.9000
t=4665ms tc=16.8946
t=4859ms tc=16.8926
t=5481ms tc=16.8921
t=5633ms tc=16.8886
t=5829ms tc=16.8881
t=6474ms tc=16.8860
t=6659ms tc=16.8853
t=6791ms tc=16.8821
t=7482ms tc=16.8820
t=7634ms tc=16.8811
t=7760ms tc=16.8790
t=8473ms tc=16.8715
t=8655ms tc=16.8714
t=8792ms tc=16.8657
t=9474ms tc=16.8613
t=9674ms tc=16.8579
t=9883ms tc=16.8558
t=10479ms tc=16.8550
t=10601ms tc=16.8465
t=10723ms tc=16.8413
t=11473ms tc=16.8386
t=11602ms tc=16.8378
t=11755ms tc=16.8376
t=11888ms tc=16.8331
t=12489ms tc=16.8324
t=12656ms tc=16.8292
t=12833ms tc=16.8277
t=13472ms tc=16.8272
t=13599ms tc=16.8259
t=13713ms tc=16.8243
t=13894ms tc=16.8232
t=14478ms tc=16.8230
t=14603ms tc=16.8230
t=14728ms tc=16.8201
t=15475ms tc=16.8179
t=15601ms tc=16.8177
t=15714ms tc=16.8169
t=15873ms tc=16.8155
t=16027ms tc=16.8152
t=16476ms tc=16.8106
t=16629ms tc=16.8078
t=16930ms tc=16.8074
t=17091ms tc=16.8069
t=17225ms tc=16.8055
t=17388ms tc=16.8051
t=17556ms tc=16.8047
t=17688ms tc=16.8042
t=17812ms tc=16.8033
t=17943ms tc=16.8023
t=18111ms tc=16.8003
t=18242ms tc=16.7988
t=18372ms tc=16.7977
t=18505ms tc=16.7971
t=18656ms tc=16.7943
t=18871ms tc=16.7943
t=18998ms tc=16.7931
t=19164ms tc=16.7924
t=19298ms tc=16.7910
t=19506ms tc=16.7882
t=19641ms tc=16.7881
t=19916ms tc=16.7872
t=20057ms tc=16.7851
t=24412ms tc=16.7844
t=24646ms tc=16.7838
t=24807ms tc=16.7833
t=25035ms tc=16.7831
t=38209ms tc=16.7814
anneal_sweeps=31128 cycles=17 fresh=0
t_final=87301ms tc_final=16.7814 ve_fits=true
