tc_greedy=39.1146 tc_ve=26.8268 best_seed=26.8268 t=111ms
t=29975ms tc=26.8124
t=29995ms tc=26.8085
t=30011ms tc=26.8030
t=30054ms tc=26.7848
t=30065ms tc=26.7645
t=30080ms tc=26.7554
t=30092ms tc=26.7519
t=30107ms tc=26.7304
t=30152ms tc=26.7216
t=30166ms tc=26.7186
t=30178ms tc=26.6911
t=30189ms tc=26.6911
t=30202ms tc=26.6901
t=30214ms tc=26.6680
t=30227ms tc=26.6638
t=30239ms tc=26.6612
t=30274ms tc=26.6563
t=30286ms tc=26.6560
t=30304ms tc=26.6549
t=30317ms tc=26.6522
t=30342ms tc=26.6407
t=30354ms tc=26.6397
t=30365ms tc=26.6390
t=30388ms tc=26.6388
t=30412ms tc=26.6379
t=30425ms tc=26.6318
t=30442ms tc=26.6297
t=30455ms tc=26.6289
t=30480ms tc=26.5499
t=30497ms tc=26.5483
t=30512ms tc=26.5197
t=30539ms tc=26.5192
t=30552ms tc=26.5123
t=30565ms tc=26.5116
t=34020ms tc=26.4874
t=34033ms tc=26.4857
t=34045ms tc=26.4837
t=34058ms tc=26.4834
t=34071ms tc=26.4827
t=34086ms tc=26.4823
t=34100ms tc=26.4821
t=37242ms tc=26.4713
t=37253ms tc=26.3347
t=37273ms tc=26.3342
t=37295ms tc=26.3168
t=37312ms tc=26.3164
t=37338ms tc=26.3134
t=37355ms tc=26.3134
t=37368ms tc=26.3118
t=37380ms tc=26.3117
t=37394ms tc=26.3084
t=37405ms tc=26.3034
t=37421ms tc=26.3034
t=37434ms tc=26.3029
t=37446ms tc=26.3028
t=37458ms tc=26.3027
t=37485ms tc=26.3020
t=37497ms tc=26.3004
t=37551ms tc=26.2981
t=37563ms tc=26.2966
t=37575ms tc=26.2962
t=55753ms tc=26.2605
t=55784ms tc=26.2561
t=55798ms tc=26.2391
t=55815ms tc=26.2390
t=55892ms tc=26.2311
t=55905ms tc=26.2262
t=55916ms tc=26.2244
t=55928ms tc=26.2207
t=55941ms tc=26.2176
t=55953ms tc=26.2171
t=55965ms tc=26.2170
t=56005ms tc=26.1986
t=56017ms tc=26.1907
t=56034ms tc=26.1798
t=56047ms tc=26.1752
t=56080ms tc=26.1745
t=56094ms tc=26.1740
t=56113ms tc=26.1645
t=56125ms tc=26.1600
t=56138ms tc=26.1583
t=56156ms tc=26.1502
t=56170ms tc=26.1499
t=56184ms tc=26.1496
t=56196ms tc=26.1476
t=56214ms tc=26.1456
t=56227ms tc=26.1450
t=56240ms tc=26.1425
t=56262ms tc=26.1377
anneal_sweeps=249993 cycles=131 fresh=0
t_final=87300ms tc_final=26.1377 ve_fits=true
