t_ve=2ms ve_width=32.00 ve_tc=33.1888
tc_greedy=34.1932 tc_ve=33.1888 best_seed=33.1888 t=95ms
t=411ms tc=32.3969
t=428ms tc=32.3946
t=455ms tc=32.2881
t=474ms tc=31.9345
t=492ms tc=31.2726
t=519ms tc=30.9341
t=541ms tc=30.5890
t=561ms tc=30.5613
t=584ms tc=30.3807
t=606ms tc=30.2731
t=626ms tc=30.2591
t=647ms tc=29.6477
t=669ms tc=29.5959
t=692ms tc=29.5176
t=714ms tc=29.2224
t=735ms tc=29.1007
t=754ms tc=29.0808
t=775ms tc=28.2227
t=799ms tc=28.0107
t=820ms tc=27.9902
t=839ms tc=27.9477
t=860ms tc=27.6896
t=879ms tc=27.2666
t=897ms tc=26.4947
t=917ms tc=26.4507
t=937ms tc=26.3776
t=958ms tc=26.3177
t=978ms tc=26.1449
t=999ms tc=26.0453
t=1019ms tc=25.6848
t=1040ms tc=25.4648
t=1061ms tc=25.4457
t=1077ms tc=25.4229
t=1093ms tc=25.0509
t=1109ms tc=25.0458
t=1130ms tc=24.9697
t=1147ms tc=24.8826
t=1168ms tc=24.8657
t=1186ms tc=24.2613
t=1205ms tc=24.2583
t=1223ms tc=24.2551
t=1241ms tc=24.2520
t=1258ms tc=24.2334
t=1275ms tc=24.2313
t=1291ms tc=24.0234
t=1459ms tc=24.0158
t=1480ms tc=23.9891
t=1503ms tc=23.9862
t=1520ms tc=23.9451
t=1537ms tc=23.9270
t=1554ms tc=23.9224
t=1569ms tc=23.9177
t=1588ms tc=23.9140
t=1625ms tc=23.9011
t=1641ms tc=23.7656
t=1659ms tc=23.5724
t=1676ms tc=23.5600
t=1694ms tc=23.5502
t=1710ms tc=23.4962
t=1732ms tc=23.4947
t=1750ms tc=23.4899
t=1815ms tc=23.4826
t=1840ms tc=23.3883
t=1857ms tc=23.3713
t=1897ms tc=23.3550
t=1976ms tc=23.3473
t=1992ms tc=23.3468
t=2011ms tc=23.3463
t=2113ms tc=23.3463
t=2128ms tc=23.3460
t=2141ms tc=23.3460
t=2243ms tc=23.3459
t=2275ms tc=23.3459
t=4061ms tc=23.3362
t=4182ms tc=23.3350
t=4197ms tc=23.3342
t=4239ms tc=23.3334
t=4256ms tc=23.3291
t=4398ms tc=23.3169
t=4413ms tc=23.3167
t=4433ms tc=23.3162
t=4448ms tc=23.3158
t=4569ms tc=23.3153
t=4688ms tc=23.3148
t=4706ms tc=23.3147
t=4721ms tc=23.3147
t=4747ms tc=23.3145
t=4819ms tc=23.3100
t=4833ms tc=23.3098
t=4847ms tc=23.3097
t=4898ms tc=23.3095
t=4985ms tc=23.3095
t=5000ms tc=23.3093
t=5014ms tc=23.3092
t=9130ms tc=23.3086
t=12101ms tc=23.3085
t=12135ms tc=23.3084
t=12195ms tc=23.3082
t=12351ms tc=23.3081
t=12400ms tc=23.3080
t=14420ms tc=23.3078
t=20749ms tc=23.3027
t=34763ms tc=23.3017
t=34824ms tc=23.3011
anneal_sweeps=150566 cycles=79 fresh=0
t_final=87300ms tc_final=23.3011 ve_fits=true
