tc_greedy=17.0665 tc_ve=16.9141 best_seed=16.9141 t=709ms
t=3249ms tc=16.9122
t=3483ms tc=16.9072
t=3654ms tc=16.9003
t=3819ms tc=16.8961
t=4008ms tc=16.8932
t=4175ms tc=16.8924
t=4437ms tc=16.8871
t=4642ms tc=16.8847
t=4840ms tc=16.8769
t=5037ms tc=16.8736
t=5210ms tc=16.8708
t=5423ms tc=16.8702
t=5628ms tc=16.8661
t=5866ms tc=16.8635
t=6058ms tc=16.8617
t=6251ms tc=16.8597
t=6426ms tc=16.8596
t=6647ms tc=16.8555
t=6875ms tc=16.8462
t=7083ms tc=16.8378
t=7485ms tc=16.8365
t=7666ms tc=16.8341
t=7865ms tc=16.8332
t=8045ms tc=16.8284
t=8235ms tc=16.8216
t=8418ms tc=16.8206
t=8699ms tc=16.8191
t=8885ms tc=16.8190
t=9059ms tc=16.8181
t=9337ms tc=16.8168
t=9588ms tc=16.8129
t=9771ms tc=16.8111
t=9942ms tc=16.8064
t=10104ms tc=16.8049
t=10468ms tc=16.8028
t=10682ms tc=16.8016
t=10899ms tc=16.7973
t=11247ms tc=16.7947
t=11512ms tc=16.7937
t=11721ms tc=16.7932
t=11898ms tc=16.7911
t=12097ms tc=16.7909
t=12277ms tc=16.7909
t=12465ms tc=16.7899
t=12636ms tc=16.7873
t=13003ms tc=16.7863
t=17671ms tc=16.7863
t=22320ms tc=16.7849
t=22479ms tc=16.7839
t=31605ms tc=16.7838
t=31707ms tc=16.7815
t=31810ms tc=16.7799
t=134569ms tc=16.7792
anneal_sweeps=121393 cycles=64 fresh=0
t_final=291003ms tc_final=16.7792 ve_fits=true
