t_ve=1ms ve_width=25.00 ve_tc=27.0562
tc_greedy=41.6764 tc_ve=26.8276 best_seed=26.8276 t=98ms
t=9909ms tc=26.7991
t=9924ms tc=26.7852
t=9935ms tc=26.7805
t=9946ms tc=26.7761
t=9986ms tc=26.7741
t=9999ms tc=26.7738
t=10011ms tc=26.7728
t=10023ms tc=26.7727
t=10043ms tc=26.7692
t=10055ms tc=26.7678
t=10067ms tc=26.7575
t=10078ms tc=26.7572
t=10146ms tc=26.7064
t=10156ms tc=26.7052
t=10185ms tc=26.6778
t=10195ms tc=26.6703
t=10210ms tc=26.6261
t=10220ms tc=26.6236
t=10231ms tc=26.6236
t=10241ms tc=26.6234
t=10253ms tc=26.6120
t=10264ms tc=26.6118
t=10275ms tc=26.5424
t=10288ms tc=26.5041
t=10304ms tc=26.5038
t=10318ms tc=26.5036
t=10327ms tc=26.5012
t=10337ms tc=26.5004
t=10345ms tc=26.5001
t=10358ms tc=26.4981
t=10368ms tc=26.4981
t=10378ms tc=26.4928
t=10388ms tc=26.4888
t=10409ms tc=26.4880
t=10420ms tc=26.4874
t=10433ms tc=26.4848
t=10449ms tc=26.4147
t=10460ms tc=26.4138
t=10470ms tc=26.4115
t=10479ms tc=26.4081
t=10496ms tc=26.4060
t=10505ms tc=26.4045
t=10518ms tc=26.4024
t=10540ms tc=26.3942
t=10549ms tc=26.3914
t=10559ms tc=26.3906
t=10571ms tc=26.3877
t=10581ms tc=26.3853
t=10590ms tc=26.3853
t=10619ms tc=26.3842
t=10629ms tc=26.3819
t=10640ms tc=26.3818
t=31561ms tc=26.3790
t=31577ms tc=26.3754
t=31591ms tc=26.3752
t=31606ms tc=26.3746
t=31642ms tc=26.3657
t=31656ms tc=26.3654
t=31672ms tc=26.3644
t=31687ms tc=26.3624
t=31702ms tc=26.3613
t=31732ms tc=26.3574
t=31745ms tc=26.3569
t=31776ms tc=26.3558
t=31788ms tc=26.3556
t=57427ms tc=26.3185
t=57440ms tc=26.2807
t=57493ms tc=26.2741
t=57506ms tc=26.2733
t=57517ms tc=26.2732
t=57552ms tc=26.2722
t=57564ms tc=26.2709
t=57581ms tc=26.2691
t=75944ms tc=26.2046
t=75959ms tc=26.2046
t=75975ms tc=26.2041
t=75994ms tc=26.2014
t=76009ms tc=26.2002
t=76026ms tc=26.1986
t=76040ms tc=26.1985
t=76055ms tc=26.1973
t=76070ms tc=26.1959
t=76086ms tc=26.1955
anneal_sweeps=250173 cycles=131 fresh=0
t_final=87300ms tc_final=26.1955 ve_fits=true
