tc_greedy=17.0768 tc_ve=16.9141 best_seed=16.9141 t=667ms
t=2978ms tc=16.9102
t=3202ms tc=16.9094
t=3306ms tc=16.8987
t=3432ms tc=16.8982
t=3541ms tc=16.8978
t=3638ms tc=16.8899
t=3745ms tc=16.8818
t=3863ms tc=16.8808
t=3990ms tc=16.8710
t=4155ms tc=16.8621
t=4472ms tc=16.8620
t=4630ms tc=16.8616
t=4751ms tc=16.8606
t=4902ms tc=16.8588
t=5086ms tc=16.8545
t=5215ms tc=16.8477
t=5345ms tc=16.8456
t=5492ms tc=16.8446
t=5634ms tc=16.8407
t=5890ms tc=16.8399
t=6029ms tc=16.8330
t=6184ms tc=16.8314
t=6352ms tc=16.8301
t=6498ms tc=16.8265
t=6643ms tc=16.8252
t=6765ms tc=16.8231
t=6900ms tc=16.8207
t=7066ms tc=16.8180
t=7206ms tc=16.8163
t=7377ms tc=16.8116
t=7603ms tc=16.8112
t=7774ms tc=16.8104
t=7899ms tc=16.8090
t=8085ms tc=16.8079
t=8289ms tc=16.8054
t=8413ms tc=16.8023
t=8538ms tc=16.8013
t=8726ms tc=16.8005
t=8874ms tc=16.7995
t=9088ms tc=16.7982
t=9218ms tc=16.7980
t=9404ms tc=16.7975
t=9529ms tc=16.7972
t=9768ms tc=16.7957
t=9890ms tc=16.7925
t=10096ms tc=16.7909
t=10338ms tc=16.7907
t=10471ms tc=16.7893
t=10600ms tc=16.7879
t=10760ms tc=16.7876
t=15015ms tc=16.7863
t=15188ms tc=16.7859
t=15552ms tc=16.7849
t=19751ms tc=16.7839
t=24225ms tc=16.7836
t=63081ms tc=16.7828
t=84854ms tc=16.7827
t=85059ms tc=16.7825
t=85276ms tc=16.7822
t=85409ms tc=16.7773
anneal_sweeps=124921 cycles=66 fresh=0
t_final=291000ms tc_final=16.7773 ve_fits=true
