t_ve=1ms ve_width=25.00 ve_tc=27.0569
tc_greedy=42.0530 tc_ve=26.8276 best_seed=26.8276 t=95ms
t=6423ms tc=26.7896
t=6432ms tc=26.7815
t=6443ms tc=26.7586
t=6454ms tc=26.7518
t=6493ms tc=26.7438
t=6503ms tc=26.7436
t=6514ms tc=26.7431
t=6528ms tc=26.7318
t=6538ms tc=26.7318
t=6547ms tc=26.7308
t=6600ms tc=26.6140
t=6614ms tc=26.6138
t=6670ms tc=26.6123
t=6708ms tc=26.6122
t=6717ms tc=26.5531
t=6728ms tc=26.5526
t=6738ms tc=26.5221
t=14515ms tc=26.5006
t=14526ms tc=26.4869
t=14537ms tc=26.4850
t=14547ms tc=26.4221
t=14558ms tc=26.4218
t=14569ms tc=26.4209
t=14579ms tc=26.4138
t=14590ms tc=26.4076
t=14613ms tc=26.4060
t=14625ms tc=26.3998
t=14640ms tc=26.3316
t=14652ms tc=26.3301
t=14663ms tc=26.3290
t=14676ms tc=26.3277
t=14691ms tc=26.3269
t=14702ms tc=26.3259
t=14713ms tc=26.3178
t=14724ms tc=26.2943
t=14768ms tc=26.2939
t=14797ms tc=26.2937
t=14813ms tc=26.2930
t=14827ms tc=26.2929
t=14882ms tc=26.2831
t=14894ms tc=26.2829
t=22797ms tc=26.2725
t=22807ms tc=26.2699
t=22817ms tc=26.2699
t=22827ms tc=26.2694
t=22838ms tc=26.2681
t=22848ms tc=26.2577
t=22859ms tc=26.2569
t=22868ms tc=26.2564
t=22925ms tc=26.2537
t=22934ms tc=26.2530
t=22946ms tc=26.2530
t=24872ms tc=26.2402
t=24882ms tc=26.2396
t=24897ms tc=26.2165
t=24907ms tc=26.2117
t=24917ms tc=26.1974
t=24926ms tc=26.1972
t=24965ms tc=26.1970
t=24974ms tc=26.1969
t=28797ms tc=26.1620
t=28805ms tc=26.1614
t=28815ms tc=26.1263
t=28827ms tc=26.1233
t=28835ms tc=26.1171
t=28866ms tc=26.1151
t=28877ms tc=26.1131
t=28887ms tc=26.1127
t=28896ms tc=26.1127
t=28934ms tc=26.1126
t=28946ms tc=26.1121
t=28967ms tc=26.1032
t=28980ms tc=26.1015
t=28989ms tc=26.1012
t=29015ms tc=26.1011
t=29025ms tc=26.1009
t=29035ms tc=26.1007
t=29052ms tc=26.1002
t=29066ms tc=26.0991
t=29099ms tc=26.0773
t=29109ms tc=26.0772
t=29118ms tc=26.0768
t=29131ms tc=26.0768
t=29170ms tc=26.0766
t=29180ms tc=26.0760
t=29192ms tc=26.0756
t=29203ms tc=26.0756
t=29216ms tc=26.0639
t=29227ms tc=26.0638
t=29238ms tc=26.0637
t=29248ms tc=26.0635
t=29260ms tc=26.0635
t=29280ms tc=26.0627
t=29299ms tc=26.0626
t=29311ms tc=26.0625
t=29320ms tc=26.0625
t=43648ms tc=26.0432
t=43659ms tc=26.0432
t=43670ms tc=26.0429
t=43684ms tc=26.0423
t=43724ms tc=26.0367
t=43731ms tc=26.0360
t=43738ms tc=26.0328
t=43745ms tc=26.0324
t=43754ms tc=26.0322
t=43785ms tc=26.0320
anneal_sweeps=251624 cycles=132 fresh=0
t_final=87300ms tc_final=26.0320 ve_fits=true
