t_ve=4ms ve_width=8.00 ve_tc=16.9692
tc_greedy=17.1018 tc_ve=16.9141 best_seed=16.9141 t=598ms
t=2989ms tc=16.9110
t=3093ms tc=16.9088
t=3181ms tc=16.9062
t=3260ms tc=16.8902
t=3374ms tc=16.8874
t=3478ms tc=16.8815
t=3873ms tc=16.8798
t=3959ms tc=16.8753
t=4065ms tc=16.8692
t=4217ms tc=16.8689
t=4349ms tc=16.8672
t=4878ms tc=16.8658
t=4956ms tc=16.8635
t=5037ms tc=16.8608
t=5131ms tc=16.8607
t=5270ms tc=16.8566
t=5883ms tc=16.8563
t=5963ms tc=16.8522
t=6200ms tc=16.8510
t=6280ms tc=16.8497
t=6867ms tc=16.8413
t=6956ms tc=16.8397
t=7120ms tc=16.8345
t=7266ms tc=16.8293
t=7360ms tc=16.8264
t=7875ms tc=16.8238
t=7987ms tc=16.8198
t=8069ms tc=16.8189
t=8153ms tc=16.8186
t=8234ms tc=16.8182
t=8870ms tc=16.8167
t=8943ms tc=16.8144
t=9034ms tc=16.8141
t=9216ms tc=16.8114
t=9331ms tc=16.8109
t=9875ms tc=16.8082
t=10009ms tc=16.8081
t=10138ms tc=16.8076
t=10236ms tc=16.8062
t=10870ms tc=16.8013
t=10940ms tc=16.8005
t=11032ms tc=16.7975
t=11214ms tc=16.7973
t=11292ms tc=16.7956
t=11871ms tc=16.7953
t=11990ms tc=16.7947
t=12108ms tc=16.7942
t=12226ms tc=16.7939
t=12314ms tc=16.7929
t=12391ms tc=16.7909
t=12872ms tc=16.7875
t=13004ms tc=16.7861
t=13191ms tc=16.7856
t=13335ms tc=16.7853
t=13880ms tc=16.7834
t=13966ms tc=16.7824
t=14063ms tc=16.7813
t=22753ms tc=16.7812
anneal_sweeps=34509 cycles=18 fresh=0
t_final=87302ms tc_final=16.7812 ve_fits=true
