t_ve=4ms ve_width=8.00 ve_tc=16.9692
tc_greedy=17.0910 tc_ve=16.9141 best_seed=16.9141 t=691ms
t=3109ms tc=16.9095
t=3243ms tc=16.9086
t=3335ms tc=16.9050
t=3439ms tc=16.9041
t=3562ms tc=16.9001
t=3654ms tc=16.8978
t=3779ms tc=16.8942
t=3871ms tc=16.8900
t=3971ms tc=16.8717
t=4144ms tc=16.8715
t=4231ms tc=16.8672
t=4354ms tc=16.8670
t=4439ms tc=16.8648
t=4528ms tc=16.8621
t=4626ms tc=16.8518
t=4865ms tc=16.8512
t=5023ms tc=16.8497
t=5111ms tc=16.8475
t=5215ms tc=16.8464
t=5313ms tc=16.8446
t=5394ms tc=16.8390
t=5490ms tc=16.8389
t=5581ms tc=16.8385
t=5820ms tc=16.8350
t=5914ms tc=16.8346
t=6034ms tc=16.8329
t=6111ms tc=16.8304
t=6187ms tc=16.8288
t=6263ms tc=16.8280
t=6338ms tc=16.8248
t=6488ms tc=16.8225
t=6596ms tc=16.8215
t=6676ms tc=16.8197
t=6805ms tc=16.8188
t=6897ms tc=16.8186
t=6997ms tc=16.8182
t=7080ms tc=16.8165
t=7199ms tc=16.8148
t=7290ms tc=16.8080
t=7442ms tc=16.8078
t=7557ms tc=16.8073
t=7686ms tc=16.8068
t=7775ms tc=16.8055
t=7933ms tc=16.8009
t=8025ms tc=16.8005
t=8148ms tc=16.7961
t=8232ms tc=16.7956
t=8414ms tc=16.7949
t=8562ms tc=16.7927
t=8708ms tc=16.7894
t=8802ms tc=16.7887
t=8880ms tc=16.7867
t=9213ms tc=16.7859
t=9295ms tc=16.7858
t=17802ms tc=16.7843
t=17927ms tc=16.7843
t=18050ms tc=16.7817
t=18178ms tc=16.7805
t=140117ms tc=16.7803
anneal_sweeps=125362 cycles=66 fresh=0
t_final=291000ms tc_final=16.7803 ve_fits=true
