t_ve=3ms ve_width=29.00 ve_tc=30.6717
tc_greedy=32.3129 tc_ve=29.4305 best_seed=29.4305 t=406ms
t=1023ms tc=29.4145
t=1179ms tc=29.4076
t=1970ms tc=29.4032
t=2128ms tc=29.3931
t=2274ms tc=29.3187
t=2964ms tc=29.3163
t=3121ms tc=29.3150
t=3264ms tc=29.2880
t=3963ms tc=29.2390
t=4109ms tc=29.2373
t=4253ms tc=29.1868
t=4970ms tc=29.1862
t=5113ms tc=29.1854
t=5257ms tc=29.1567
t=5971ms tc=29.1343
t=6115ms tc=29.1338
t=6264ms tc=29.1180
t=6965ms tc=29.1032
t=7106ms tc=29.0977
t=7261ms tc=29.0687
t=7969ms tc=29.0498
t=8114ms tc=29.0417
t=8250ms tc=29.0385
t=8964ms tc=29.0042
t=9100ms tc=28.9847
t=9264ms tc=28.9492
t=9961ms tc=28.8939
t=10091ms tc=28.8912
t=10205ms tc=28.8662
t=10962ms tc=28.8546
t=11088ms tc=28.8398
t=11228ms tc=28.8293
t=11956ms tc=28.8231
t=12081ms tc=28.7999
t=12209ms tc=28.7952
t=12327ms tc=28.7944
t=12966ms tc=28.7730
t=13083ms tc=28.7367
t=13210ms tc=28.7253
t=13962ms tc=28.6906
t=14085ms tc=28.6855
t=14214ms tc=28.6691
t=14354ms tc=28.6439
t=14468ms tc=28.6362
t=14959ms tc=28.6270
t=15072ms tc=28.6215
t=15183ms tc=28.5835
t=15296ms tc=28.5582
t=15966ms tc=28.5492
t=16078ms tc=28.5139
t=16198ms tc=28.5119
t=16296ms tc=28.5007
t=16965ms tc=28.4864
t=17091ms tc=28.4717
t=17199ms tc=28.4676
t=17293ms tc=28.4627
t=17960ms tc=28.4586
t=18053ms tc=28.4574
t=18145ms tc=28.4571
t=18239ms tc=28.4535
t=18960ms tc=28.4347
t=19068ms tc=28.4300
t=19162ms tc=28.4128
t=19257ms tc=28.4108
t=19956ms tc=28.3856
t=20067ms tc=28.3721
t=20185ms tc=28.3616
t=20279ms tc=28.3601
t=20369ms tc=28.3359
t=20961ms tc=28.3145
t=21075ms tc=28.3133
t=21183ms tc=28.3074
t=21292ms tc=28.3072
t=21955ms tc=28.3049
t=22071ms tc=28.2993
t=22175ms tc=28.2985
t=22294ms tc=28.2870
t=22955ms tc=28.2779
t=23050ms tc=28.2772
t=23147ms tc=28.2691
t=23255ms tc=28.2643
t=23962ms tc=28.2606
t=24059ms tc=28.2566
t=24153ms tc=28.2422
t=24252ms tc=28.2237
t=24966ms tc=28.1993
t=25051ms tc=28.1919
t=25150ms tc=28.1810
t=25234ms tc=28.1698
t=25334ms tc=28.1658
t=25957ms tc=28.1658
t=26051ms tc=28.1605
t=26144ms tc=28.1349
t=26236ms tc=28.1295
t=26327ms tc=28.1241
t=26412ms tc=28.1084
t=26498ms tc=28.1079
t=26583ms tc=28.1004
t=26956ms tc=28.0972
t=27075ms tc=28.0929
t=27162ms tc=28.0661
t=27246ms tc=28.0661
t=27331ms tc=28.0660
t=27960ms tc=28.0653
t=28050ms tc=28.0443
t=28133ms tc=28.0284
t=28211ms tc=28.0244
t=28300ms tc=28.0224
t=28954ms tc=28.0212
t=29040ms tc=28.0212
t=29131ms tc=28.0210
t=29210ms tc=28.0210
t=29290ms tc=27.9887
t=29962ms tc=27.9774
t=30048ms tc=27.9774
t=30130ms tc=27.9709
t=30219ms tc=27.9708
t=30304ms tc=27.9649
t=30386ms tc=27.9546
t=30472ms tc=27.9429
t=30553ms tc=27.9428
t=30633ms tc=27.9427
t=30959ms tc=27.9301
t=31066ms tc=27.9191
t=31150ms tc=27.9185
t=31235ms tc=27.9081
t=31318ms tc=27.9081
t=31396ms tc=27.8964
t=31494ms tc=27.8635
t=31574ms tc=27.8630
t=31968ms tc=27.8629
t=32088ms tc=27.8629
t=32187ms tc=27.8624
t=32276ms tc=27.8609
t=32361ms tc=27.8484
t=32444ms tc=27.8347
t=32525ms tc=27.8345
t=32606ms tc=27.8345
t=32692ms tc=27.8225
t=32770ms tc=27.8221
t=32957ms tc=27.8217
t=33039ms tc=27.8213
t=33129ms tc=27.8080
t=33224ms tc=27.7847
t=33305ms tc=27.7845
t=33388ms tc=27.7829
t=33464ms tc=27.7829
t=33558ms tc=27.7720
t=33640ms tc=27.7710
t=33956ms tc=27.7710
t=34038ms tc=27.7710
t=34117ms tc=27.7561
t=34194ms tc=27.7561
t=34272ms tc=27.7561
t=34355ms tc=27.7561
t=34440ms tc=27.7554
t=34526ms tc=27.7551
t=34610ms tc=27.7550
t=34955ms tc=27.7545
t=35029ms tc=27.7413
t=35108ms tc=27.7277
t=35187ms tc=27.7277
t=35265ms tc=27.7277
t=35344ms tc=27.7277
t=35422ms tc=27.7277
t=35498ms tc=27.7141
t=35572ms tc=27.7003
t=35650ms tc=27.7002
t=35957ms tc=27.6862
t=36037ms tc=27.6861
t=36115ms tc=27.6861
t=36186ms tc=27.6860
t=36266ms tc=27.6720
t=36345ms tc=27.6595
t=36423ms tc=27.6580
t=36501ms tc=27.6579
t=36576ms tc=27.6578
t=36650ms tc=27.6435
t=36959ms tc=27.6292
t=37035ms tc=27.6145
t=37110ms tc=27.6145
t=37196ms tc=27.6144
t=37291ms tc=27.6133
t=37380ms tc=27.6132
t=37453ms tc=27.6132
t=37528ms tc=27.6132
t=37602ms tc=27.6132
t=37949ms tc=27.6132
t=38021ms tc=27.6132
t=38093ms tc=27.5839
t=38167ms tc=27.5836
t=38311ms tc=27.5702
t=38388ms tc=27.5701
t=38456ms tc=27.5701
t=38552ms tc=27.5551
t=38628ms tc=27.5550
t=38722ms tc=27.5397
t=38793ms tc=27.5397
t=38958ms tc=27.5241
t=39038ms tc=27.5241
t=39118ms tc=27.5240
t=39195ms tc=27.5240
t=39290ms tc=27.5240
t=39368ms tc=27.5240
t=39452ms tc=27.5240
t=39524ms tc=27.5240
t=39601ms tc=27.5240
t=39678ms tc=27.5084
t=39956ms tc=27.5084
t=40032ms tc=27.5083
t=40111ms tc=27.4923
t=40186ms tc=27.4923
t=40267ms tc=27.4923
t=40345ms tc=27.4763
t=40421ms tc=27.4762
t=40495ms tc=27.4762
t=40569ms tc=27.4762
t=40644ms tc=27.4762
t=40954ms tc=27.4761
t=41036ms tc=27.4600
t=41113ms tc=27.4600
t=41182ms tc=27.4599
t=41250ms tc=27.4598
t=41326ms tc=27.4598
t=41418ms tc=27.4598
t=41540ms tc=27.4598
t=41615ms tc=27.4273
t=41686ms tc=27.3977
t=41953ms tc=27.3977
t=42023ms tc=27.3977
t=42091ms tc=27.3674
t=42160ms tc=27.3365
t=42233ms tc=27.3365
t=42303ms tc=27.3364
t=42374ms tc=27.3364
t=42447ms tc=27.3364
t=42518ms tc=27.3360
t=42589ms tc=27.3182
t=42658ms tc=27.3181
t=42958ms tc=27.3170
t=43026ms tc=27.3147
t=43096ms tc=27.3142
t=43168ms tc=27.3136
t=43236ms tc=27.3125
t=43301ms tc=27.3125
