tc_greedy=31.6687 tc_ve=29.4305 best_seed=29.4305 t=357ms
t=1167ms tc=29.4296
t=1322ms tc=29.4017
t=1479ms tc=29.3969
t=1633ms tc=29.3794
t=1792ms tc=29.3781
t=1978ms tc=29.3755
t=2134ms tc=29.3519
t=2272ms tc=29.3515
t=2542ms tc=29.3358
t=2683ms tc=29.3034
t=2821ms tc=29.2649
t=2951ms tc=29.2272
t=3092ms tc=29.2227
t=3224ms tc=29.2052
t=3548ms tc=29.1932
t=3693ms tc=29.1913
t=3860ms tc=29.1841
t=3990ms tc=29.1826
t=4125ms tc=29.1665
t=4542ms tc=29.1464
t=4671ms tc=29.1392
t=4812ms tc=29.1372
t=4939ms tc=29.1263
t=5070ms tc=29.1198
t=5198ms tc=29.1043
t=5542ms tc=29.1013
t=5676ms tc=29.0813
t=5809ms tc=29.0719
t=5938ms tc=29.0710
t=6070ms tc=29.0609
t=6196ms tc=29.0564
t=6543ms tc=29.0447
t=6668ms tc=29.0235
t=6791ms tc=29.0036
t=6914ms tc=28.9881
t=7034ms tc=28.9548
t=7163ms tc=28.9527
t=7538ms tc=28.9354
t=7663ms tc=28.9210
t=7790ms tc=28.9088
t=7914ms tc=28.8961
t=8046ms tc=28.8927
t=8174ms tc=28.8627
t=8539ms tc=28.8612
t=8662ms tc=28.8461
t=8792ms tc=28.8398
t=8905ms tc=28.8237
t=9024ms tc=28.8081
t=9157ms tc=28.7948
t=9281ms tc=28.7917
t=9543ms tc=28.7748
t=9674ms tc=28.7461
t=9789ms tc=28.7437
t=9907ms tc=28.7345
t=10022ms tc=28.7287
t=10134ms tc=28.7248
t=10241ms tc=28.7049
t=10547ms tc=28.7047
t=10663ms tc=28.6775
t=10781ms tc=28.6696
t=10899ms tc=28.6518
t=11014ms tc=28.6300
t=11129ms tc=28.6278
t=11538ms tc=28.6254
t=11652ms tc=28.6062
t=11768ms tc=28.5951
t=11887ms tc=28.5718
t=11998ms tc=28.5581
t=12131ms tc=28.5468
t=12237ms tc=28.5276
t=12536ms tc=28.5188
t=12649ms tc=28.5041
t=12751ms tc=28.4900
t=12901ms tc=28.4621
t=12995ms tc=28.4580
t=13088ms tc=28.4539
t=13207ms tc=28.4425
t=13309ms tc=28.4292
t=13536ms tc=28.4246
t=13625ms tc=28.4161
t=13711ms tc=28.4140
t=13808ms tc=28.4098
t=13919ms tc=28.3879
t=14017ms tc=28.3687
t=14106ms tc=28.3590
t=14204ms tc=28.3445
t=14539ms tc=28.3404
t=14634ms tc=28.3169
t=14735ms tc=28.3085
t=14825ms tc=28.3042
t=14910ms tc=28.2945
t=15009ms tc=28.2844
t=15101ms tc=28.2827
t=15190ms tc=28.2781
t=15537ms tc=28.2747
t=15628ms tc=28.2738
t=15718ms tc=28.2691
t=15807ms tc=28.2464
t=15896ms tc=28.2326
t=15984ms tc=28.2245
t=16080ms tc=28.2147
t=16174ms tc=28.2111
t=16538ms tc=28.2103
t=16627ms tc=28.2097
t=16725ms tc=28.2097
t=16812ms tc=28.1919
t=16902ms tc=28.1825
t=16993ms tc=28.1713
t=17090ms tc=28.1613
t=17187ms tc=28.1568
t=17269ms tc=28.1497
t=17536ms tc=28.1220
t=17619ms tc=28.1122
t=17701ms tc=28.1017
t=17800ms tc=28.0938
t=17882ms tc=28.0884
t=17959ms tc=28.0883
t=18038ms tc=28.0641
t=18138ms tc=28.0461
t=18235ms tc=28.0447
t=18539ms tc=28.0389
t=18626ms tc=28.0225
t=18710ms tc=28.0223
t=18799ms tc=28.0117
t=18883ms tc=28.0032
t=18963ms tc=28.0026
t=19052ms tc=28.0024
t=19132ms tc=27.9940
t=19210ms tc=27.9933
t=19540ms tc=27.9913
t=19625ms tc=27.9906
t=19710ms tc=27.9904
t=19797ms tc=27.9900
t=19886ms tc=27.9894
t=19978ms tc=27.9892
t=20070ms tc=27.9872
t=20152ms tc=27.9569
t=20231ms tc=27.9283
t=20541ms tc=27.9269
t=20622ms tc=27.9209
t=20705ms tc=27.9205
t=20789ms tc=27.9160
t=20862ms tc=27.9112
t=20944ms tc=27.9094
t=21021ms tc=27.9094
t=21112ms tc=27.9086
t=21189ms tc=27.8973
t=21537ms tc=27.8967
t=21620ms tc=27.8881
t=21700ms tc=27.8786
t=21818ms tc=27.8728
t=21895ms tc=27.8721
t=21971ms tc=27.8720
t=22050ms tc=27.8718
t=22125ms tc=27.8717
t=22205ms tc=27.8714
t=22303ms tc=27.8657
t=22539ms tc=27.8640
t=22624ms tc=27.8638
t=22731ms tc=27.8636
t=22840ms tc=27.8636
t=22925ms tc=27.8574
t=23001ms tc=27.8574
t=23079ms tc=27.8512
t=23156ms tc=27.8386
t=23239ms tc=27.8385
t=23531ms tc=27.8259
t=23606ms tc=27.8259
t=23683ms tc=27.8195
t=23763ms tc=27.8193
t=23844ms tc=27.8192
t=23920ms tc=27.8192
t=24002ms tc=27.8152
t=24082ms tc=27.8124
t=24162ms tc=27.7996
t=24234ms tc=27.7932
t=24528ms tc=27.7931
t=24604ms tc=27.7915
t=24675ms tc=27.7884
